factText,factNumber
"Reduce consumption, reuse items when possible, and recycle materials such as paper, plastics, glass, and metals.",1
"Composting organic waste like food scraps and paper can produce nutrient-rich soil for gardening.",2
"Dispose of electronic waste (e-waste) responsibly by recycling old electronics like phones, computers, and batteries.",3
"Instead of throwing away items in good condition, donate them to charities or thrift stores.",4
"Properly sort recyclable materials and avoid contaminating recycling bins with non-recyclables.",5
"Dispose of hazardous waste such as batteries, paint, chemicals, and fluorescent bulbs at designated collection centers.",6
"Minimize food waste by planning meals, storing food properly, and using leftovers creatively.",7
"Get involved in community clean-up events, recycling drives, and environmental initiatives.",8
"The most effective approach to waste management is to reduce the amount of waste generated in the first place.",9
"Coffee grounds are rich in nitrogen and make an excellent addition to compost piles.",10
"Shredded paper can be recycled, but it's essential to check local recycling guidelines.",11